"","movie","rating","review_header","review"
"1","Dil Bechara",10,"Love is more important than life.","One of the finest acting I've ever seen.I suggest you to please watch this. I think this is far better than movies originated from nepotism. Shushant Sir has done great work and lived the moment in this film. Everything was perfect."
"2","Dil Bechara",10,"Fabulous","This is the only Indian movie which made me cry..... You need to be emotionally strong specially after the dismissal of the Sushant Singh Rajput.. he is great and he was capable to be no 1 in india.. Because of nepotism we lost a well deserved star. I was deeply upset by the ending but overall it was a great movie"
"3","Dil Bechara",10,"He left a mark and will always be remembered !","Dear Manny/Augustas/Sushant Singh Rajput
you did leave a mark, you left all your viewers speechless.
Be it in the reel world or the real world.
You were the most amazing character and I enjoyed you act, and sobbed at the same time, watching you smile and crack jokes made me so emotional.
How could a person this cheerful with the brightest not with us anymore.
This movie was very warm just the right mix of humor and drama and emotions.
Its so fresh that one can re-watch it a 100 times and still wont get bored.
I recommend it to all the people out their, because it is not just about cancer or just the regular teenage love story, it far more than that.
Give it a watch and I'm sure you'll agree with me."
"4","Dil Bechara",10,"What a masterpiece!!!!!","This movie made me cry so so much I don't remember when was the last time I cried so much. Seriously life is so unpedictable live your life to fullest and enjoy this movie with your friends and family. Take care of your loved ones. Seriously what a fantastic movie. Lots of love Sushant you will be missed so so much."
"5","Dil Bechara",10,"Such an emotional tribute to a wonderful actor.","There is no better way to give tribute to a genuinely amazing actor. The film was pretty emotional and touching. Such natural acting from #Sushanth and #SanjanaSanghi and a brilliant execution from other the cast and crew. The movie indeed had plot holes and rushed up situations but I don't think anyone will notice those stuffs as the movie maintained a emotionally touching storyline and knowing the fact that Sushanth left us made it way more emotional and can't finish the movie without releasing a single drop of tear."
"6","Dil Bechara",10,"One last time!","Sushant will live on forever in our hearts! Its just sad that we never appreciated him enough while he was alive! Loved the movie!"
"7","Dil Bechara",10,"A HEARTHWARMIMG STORY. THE MOVIE WILL TOUCH THE CORE OF YOUR HEART","Again a brilliant performance by Sushant Singh Rajput.We will miss him, will miss his art.
Brilliant performance by all the cast, it felt real.
Great movie!"
"8","Dil Bechara",10,"SSR's acting was beyond words..excellent!!!","I'm not writing this from an emotional side of mine.. but I've rated 10/10 for this film only because of Sushant's acting..the way he conveyed each n every emotion, be it with his eyes/body language..speechless..simply marvellous!!Such a huge loss for the industry!! Rest of d casts were average I'd say!!"
"9","Dil Bechara",10,"Its not about Sushant Singh.","Its life
The one who want to live they die
And the one whom can live they choose to not....."
"10","Dil Bechara",10,"Ssr you will be always missed buddy We love you","A must watch movie... This movie will tell you what lies between birth and death is life that we generally forget to live... Live your life to the fullest..you never know what will gonna happen next <U+0001F494> Amazing performance by Sushant, Sanjana,"
"11","Dil Bechara",10,"Missing you SSR","The best movie and I was in my tears while watching and all I was looking at Sushant Singh Rajput. He brings life to each frame and loved his work. Simply magical."
"12","Dil Bechara",10,"Awesome movie.","Don't know what to write just after the watching the movie but watch this without even a second thought. Love SSR!"
"13","Dil Bechara",10,"The best adaptation yet","This is the best adaptation of The Fault in Our Stars, the book. Both the Hollywood adaptation and this one made changes and are not word for word. But the story, intent and screenplay in this one tops any other adaptation that I have seen, including the plays."
"14","Dil Bechara",10,"A movie that touches the heart in many ways","After watching the movie. I could only say it touched the heart and emotions in the movie make us learn many things in life. I would only say there are some movies which are actually meant to be kept forever in our collection.. this movie is one of those.. Best of 2020."
"15","Dil Bechara",10,"Touching and heart-melting movie","A must watch movie... This movie will tell you what lies between birth and death is life that we generally forget to live... Live your life to the fullest..you never know what will gonna happen next <U+0001F494> Amazing performance by Sushant, Sanjana, Swastika etc <U+0001F44D><U+0001F44D>"
"16","Dil Bechara",10,"Heartwarming and such an Emotional one!","Really just would bring tears into your eyes, this story depicts an amazing and a truly Lovely Story of Kizi Basu and Immanuel Rajkumar Jr. !"
"17","Dil Bechara",10,"Dil Bechara is a mood, Sushant is the Highlight","Hard to think Sushant is gone. But he leaves behind another epic film!You can't take your eyes off him, the movie is amazing. It's easy breezy.I think it's going to be hard to get into the technical details of the totality of the film but what's exceptionally clear is that you've got to Watch it for Sushant... he was made for the movies...He knows his craft, you can sense his powerful presence in every scene, and that's the true mark of an efficient actor. The beauty is in the details - from getting the walk of the character right to setting the mood right, Sushant steals the show."
"18","Dil Bechara",10,"This is How you treat a reamke...","If you had seen The orginal good for you. Now you know this one is better than that. I am not sayin this because it's Sushant last venture. When I heard that they are going to make the remake of 'The fault in Our Stars'. I thought they are going to ruin this.
But Mukesh Chabra proved me wrong. Shushant is the best Manny you can ever get.
And then There is A.R. Rehman sir with his music nothing can get wrong."
"19","Dil Bechara",10,"Seri kizie basu","The movie was absolutely fantastic. After so long I have cried while watching a movie. The conversation between kizie's dad and Manny was really emotional."
"20","Dil Bechara",10,"Excellent","Fantastic movie, watched this movie for one and only sushant singh rajput the true and real actor"
"21","Dil Bechara",10,"A Film Beyond just Acting, It has become Emotion, Performance par excellence","Heart wrenching movie unbaisedly, Absolutely roller coaster of emotions..We have lost a superstar.. shame on bollywood mafia nexus."
"22","Dil Bechara",10,"Sushant Singh Rajput","I Smiled, Laughed, Loved and I Cried, Cried and Cried... Kizzie Basu the most lovely character well portrayed by the actress.. Swastika Ma'am you are always beautiful. SSR From Pavitra Rishta to Jhalak Dhikla Jaa to Kaipoche to MS Dhoni to Chichhore to Dil Bechara"
"23","Dil Bechara",10,"Why u have to watch it","To fell the pain and happiness at the same time Mr. Junior show us the exact way to how to handle it appropriately."
"24","Dil Bechara",10,"Amazing movie -pls watch it with subtitles","A nice lovely setting and story line up.. Sushant singh Rajput was a natural..Mr Chabra thank you for making his last movie..loved both Sushant and Sanjana in the movie..
Pls watch it subtitles..."
"25","Dil Bechara",10,"Its not a movie. Its an emotion","I'm the one who already watched the original flick ""The fault in our stars"" and still writing that this movie feels like a breeze of fresh air. Don't know if it's the Sushant Singh Rajput effect or my emotions who wanted to see him in every frame of the movie. He acted brilliantly and Sanjana Sanghi also acted very well to add the perfect touch of emotions as Kizi Basu. Watch the movie to feel the SSR magic live. I wish if he was here to watch the audience response after the movie."
"26","Dil Bechara",10,"An emotional,heart touching and tribute to our lost hero.","We all know that it is the remake of the hollywood movie The Fault in Our Stars but while watching this movie I had totally forgot that their was a movie named The Fault in Our Stars.
We all miss you Sushant and will be loving you."
"27","Dil Bechara",10,"This rating is only for Sushant","You will live in my heart forever. You did amazing work and we will always love you. I loved the movie."
"28","Dil Bechara",10,"Sushant acted even death naturally!","I had watched fault in our stars movie in 2014 and definitely it made me cry! Wasn't expecting so much from this remake but Sushant even in his final acting made this movie a memorable one for his fans. He acted even death so naturally that none of us can now wake him up from the eternal acting masterpiece!
I wish His final movie will make the Bollywood a better place for outsiders and May the real actors get the piece of it!
To shushant... to his final masterpiece!"
"29","Dil Bechara",10,"Siri SSR !!","He was a star. Every frame lights up when he is there. Brilliant story for a fitting finale. You will be missed for sure. Watch it for the emotional rollercoaster of a film.
P.S. I have watched last 10 minutes like 5 times now and it melts my heart never to see him again on big screen. The last song Tum na huye mere to kya breaks me every time I watch it. It stay with me forever. SSR lives forever and ever!!!"
"30","Dil Bechara",10,"First Movie Of My life in which I cried","Watch it...very fantastic movie...with mixture of happiness and emotion.This movie will take u on another journey and when this journey ends you wouldn't notice. I liked SSR acting ..wherever u are Rest In Peace Sir..."
"31","Dil Bechara",10,"We miss you SSR","Best actor , ending was very emotional You shouldn't have committed suicide. In every movie he has given positivity and strength to the other characters in the picture and always strength to the public You will always be missed"
"32","Dil Bechara",10,"i love you Sushant Singh Rajput","This is not a movie this looks like this happening in front of us realistic acting...
we do not judge in word"
